,id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,Property Type,Stay Type
0,2539,2787,1,108,40.64749,-73.97237,1,149.0,1,9,2018-10-19,0.21,6,365,0,1
1,2595,2845,2,127,40.75362,-73.98377,0,225.0,1,45,2019-05-21,0.38,2,355,0,1
2,3647,4632,2,94,40.80902,-73.9419,1,150.0,3,0,NA,0.0,1,365,1,1
3,3831,4869,1,41,40.68514,-73.95976,0,89.0,1,270,2019-07-05,4.64,1,194,0,1
4,5022,7192,2,61,40.79851,-73.94399,0,80.0,10,9,2018-11-19,0.1,1,0,0,1
5,5099,7322,2,137,40.74767,-73.975,0,200.0,3,74,2019-06-22,0.59,1,129,0,1
6,5121,7356,1,13,40.68688,-73.95596,1,60.0,45,49,2017-10-05,0.4,1,0,0,0
7,5178,8967,2,95,40.76489,-73.98493,1,79.0,2,430,2019-06-24,3.47,1,220,0,1
8,5203,7490,2,202,40.80178,-73.96723,1,79.0,2,118,2017-07-21,0.99,1,0,0,1
9,5238,7549,2,35,40.71344,-73.99037,0,150.0,1,160,2019-06-09,1.33,4,188,0,1
10,5295,7702,2,202,40.80316,-73.96545,0,135.0,5,53,2019-06-22,0.43,1,6,0,1
11,5441,7989,2,95,40.76076,-73.98867,1,85.0,2,188,2019-06-23,1.5,1,39,0,1
12,5803,9744,1,182,40.66829,-73.98779,1,89.0,4,167,2019-06-24,1.34,3,314,0,1
13,6021,11528,2,202,40.79826,-73.96113,1,85.0,2,113,2019-07-05,0.91,1,333,0,1
14,6090,11975,2,209,40.7353,-74.00525,0,120.0,90,27,2018-10-31,0.22,1,0,0,0
15,6848,15991,1,214,40.70837,-73.95352,0,140.0,2,148,2019-06-29,1.2,1,46,0,1
16,7097,17571,1,80,40.69169,-73.97185,0,215.0,2,198,2019-06-28,1.72,1,321,0,1
17,7322,18946,2,34,40.74192,-73.99501,1,140.0,1,260,2019-07-01,2.12,1,12,0,1
18,7726,20950,1,51,40.67592,-73.94694,0,99.0,3,53,2019-06-22,4.44,1,21,0,1
19,7750,17985,2,61,40.79685,-73.94872,0,190.0,7,0,NA,0.0,2,249,1,1
20,7801,21207,1,214,40.71842,-73.95718,0,299.0,3,9,2011-12-28,0.07,1,0,0,1
21,8024,22486,1,151,40.68069,-73.97706,1,130.0,2,130,2019-07-01,1.09,6,347,0,1
22,8025,22486,1,151,40.67989,-73.97798,1,80.0,1,39,2019-01-01,0.37,6,364,0,1
23,8110,22486,1,151,40.68001,-73.97865,1,110.0,2,71,2019-07-02,0.61,6,304,0,1
24,8490,25183,1,13,40.68371,-73.94028,0,120.0,2,88,2019-06-19,0.73,2,233,0,1
25,8505,25326,1,216,40.65599,-73.97519,1,60.0,1,19,2019-06-23,1.37,2,85,0,1
26,8700,26394,2,103,40.86754,-73.92639,1,80.0,4,0,NA,0.0,1,0,1,1
27,9357,30193,2,95,40.76715,-73.98533,0,150.0,10,58,2017-08-13,0.49,1,75,0,1
28,9518,31374,2,103,40.86482,-73.92106,1,44.0,3,108,2019-06-15,1.11,3,311,0,1
29,9657,21904,2,64,40.7292,-73.98542,0,180.0,14,29,2019-04-19,0.24,1,67,0,1
30,9668,32294,2,94,40.82245,-73.95104,1,50.0,3,242,2019-06-01,2.04,3,355,0,1
31,9704,32045,2,94,40.81305,-73.95466,1,52.0,2,88,2019-06-14,1.42,1,255,0,1
32,9782,32169,1,91,40.72219,-73.93762,1,55.0,4,197,2019-06-15,1.65,3,284,0,1
33,9783,32294,2,94,40.8213,-73.95318,1,50.0,3,273,2019-07-01,2.37,3,359,0,1
34,10452,35935,1,13,40.6831,-73.95473,1,70.0,1,74,2019-05-12,0.66,2,269,0,1
35,10962,9744,1,182,40.66869,-73.9878,1,89.0,4,168,2019-06-21,1.41,3,340,0,1
36,11452,7355,1,13,40.68876,-73.94312,1,35.0,60,0,NA,0.0,1,365,1,0
37,11708,44145,1,28,40.70186,-73.92745,0,85.0,2,231,2019-06-22,1.96,2,22,0,1
38,11943,45445,1,74,40.63702,-73.96327,1,150.0,1,0,NA,0.0,1,365,1,1
39,12048,7549,2,119,40.71401,-73.98917,2,40.0,1,214,2019-07-05,1.81,4,188,0,1
40,12192,46978,2,64,40.7229,-73.98199,1,68.0,2,245,2019-06-21,2.08,2,96,0,1
41,12299,47610,1,182,40.66278,-73.97966,0,120.0,3,15,2019-05-27,0.39,1,345,0,1
42,12303,47618,1,80,40.69673,-73.97584,1,120.0,7,25,2018-09-30,0.23,1,311,0,1
43,12318,16800,2,202,40.79009,-73.97927,1,135.0,4,81,2019-06-16,0.69,1,273,0,1
44,12343,47727,2,94,40.81175,-73.94478,0,150.0,7,97,2019-06-13,0.84,1,309,0,1
45,12627,49670,1,159,40.65944,-73.96238,0,150.0,29,11,2019-06-05,0.49,1,95,0,0
46,12937,50124,3,117,40.74771,-73.9474,1,130.0,3,248,2019-07-01,2.25,1,215,0,1
47,12940,50148,1,13,40.68111,-73.95591,0,110.0,7,61,2019-05-25,0.52,1,265,0,1
48,13050,50846,1,13,40.68554,-73.9409,0,115.0,3,11,2017-01-01,0.1,1,0,0,1
49,13394,52335,1,80,40.69142,-73.97376,1,80.0,3,135,2019-06-17,1.16,2,192,0,1
50,13808,54275,1,13,40.68043,-73.93934,1,80.0,1,112,2019-06-16,1.01,3,251,0,1
51,14287,56094,2,202,40.78635,-73.97008,0,151.0,2,73,2019-07-07,0.63,1,302,0,1
52,14290,56104,1,214,40.7042,-73.9356,0,228.0,3,82,2019-05-17,0.7,1,140,0,1
53,14314,56246,1,91,40.73506,-73.95392,0,144.0,2,328,2019-06-29,2.82,1,234,0,1
54,14322,56284,2,112,40.73961,-73.98074,0,200.0,7,19,2019-03-25,0.22,1,257,0,1
55,14377,56512,1,214,40.70881,-73.9593,0,150.0,30,105,2019-06-22,0.9,1,30,0,0
56,14991,59023,2,119,40.72004,-73.99104,1,110.0,5,19,2019-05-18,0.17,1,301,0,1
57,15220,59734,2,95,40.75531,-73.99293,1,69.0,2,289,2019-06-09,2.49,2,294,0,1
58,15338,32169,1,91,40.72401,-73.93788,1,49.0,4,138,2019-06-04,1.19,3,320,0,1
